paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Sinclair et al 2004,60,LACM 145078,"Bishop, U.S.A.: California",AY584267,v. vigilis,vigilis_OV,plants,37.32517,-118.53443
Leavitt 2007,114,DHL29,"USA: California, San Bernardino Co.; Morongo Valley; N 34.0946, W 116.5109",EU129885,San Jacinto,vigilis_SJ,plants,34.0946,-116.5109
Leavitt 2007,113,DHL118,"USA: California, San Bernardino Co.; Yucca Valley, Kickapoo; N 34.0991, W 116.4718",EU129878,San Jacinto,vigilis_SJ,plants,34.0991,-116.4718
Leavitt 2007,113,DHL119,"USA: California, San Bernardino Co.; Yucca Valley, Kickapoo; N 34.0991, W 116.4718",EU129879,San Jacinto,vigilis_SJ,plants,34.0991,-116.4718
Sinclair et al 2004,49,LACM 145086,"Mojave, U.S.A.: California",AY584328,v. vigilis,vigilis_KCAV,plants,35.0511682,-118.1998042
Noonan et al 2013,vigilis 6088,LACM 145086,USA: California: Mojave,EU129771,vigilis,vigilis_KCAV,plants,35.0511682,-118.1998042
Sinclair et al 2004,49,LACM 145089,"Mojave, U.S.A.: California",AY584329,v. vigilis,vigilis_KCAV,plants,35.0511682,-118.1998042
Noonan et al 2013,bezyi 6102,LACM 145111,USA: Arizona: Oak Flat,EU129516,bezyi,bezyi,rocks,33.30900753,-111.0470619
Sinclair et al 2004,4,LACM 145111,"Oak Flat, U.S.A.: Arizona",AY584331,v. arizonae,bezyi,Rocks,33.30900753,-111.0470619
Sinclair et al 2004,13,LACM 145119,"Hillside (4.0 W), U.S.A.: Arizona",AY584330,v. arizonae,arizonae,Rocks,34.41920544,-112.9170438
Sinclair et al 2004,8,LACM 145120,"Sunflower (13.5 S), U.S.A.: Arizona",AY584318,v. arizonae,bezyi,Rocks,33.689694,-111.501341
Noonan et al 2013,vigilis 5878,LACM 139926,USA: Arizona: Bagdad (2.6 NE),EU129561,vigilis,vigilis_EM,plants,34.57713793,-113.172262
Sinclair et al 2004,21b,LACM 138298,"Water Peak, U.S.A.: Arizona",AY584300,v. vigilis,vigilis_EM,plants,34.5948,-113.16889
Sinclair et al 2004,21a,LACM 139927,"Bagdad (2.6 NE), U.S.A.: Arizona",AY584315,v. vigilis,vigilis_EM,plants,34.5948,-113.16889
Leavitt 2007,77,RLB5891,"USA: Arizona, Mohave Co.; Red Knob; N 34.6, W 113.4",EU129566,X. vigilis,vigilis_EM,plants,34.6,-113.4
Leavitt 2007,77,RLB5895,"USA: Arizona, Mohave Co.; Red Knob; N 34.6, W 113.4",EU129559,X. vigilis,vigilis_EM,plants,34.6,-113.4
Leavitt 2007,77,RLB5896,"USA: Arizona, Mohave Co.; Red Knob; N 34.6, W 113.4",EU129560,X. vigilis,vigilis_EM,plants,34.6,-113.4
Leavitt 2007,77,RLB5897,"USA: Arizona, Mohave Co.; Red Knob; N 34.6, W 113.4",EU129568,X. vigilis,vigilis_EM,plants,34.6,-113.4
Leavitt 2007,79,RLB5970,"USA: Arizona, Yavapai Co.; Bagdad (2.6 NE); N 34.6, W 113.15",EU129562,X. vigilis,vigilis_EM,plants,34.6,-113.15
Noonan et al 2013,arizonae 6172,LACM 145197,USA: Arizona: Grayback Mtn. (4.2),EU129496,arizonae,arizonae,rocks,34.4025,-112.989
Sinclair et al 2004,15,LACM 145197,"Grayback Mountain (4.2), U.S.A.: Arizona",AY584334,v. arizonae,arizonae,Rocks,34.4025,-112.989
Leavitt 2007,48,DHL79,"USA: California, San Bernardino Co.; Old Woman Mts.; N 34.6154, W 115.1826",EU129630,X. vigilis,vigilis_EM,plants,34.6154,-115.1826
Leavitt 2007,48,DHL80,"USA: California, San Bernardino Co.; Old Woman Mts.; N 34.6154, W 115.1826",EU129631,X. vigilis,vigilis_EM,plants,34.6154,-115.1826
Leavitt 2007,48,DHL81,"USA: California, San Bernardino Co.; Old Woman Mts.; N 34.6154, W 115.1826",EU129632,X. vigilis,vigilis_EM,plants,34.6154,-115.1826
Noonan et al 2013,bezyi 6076,LACM 145224,USA: Arizona: Four Peaks,EU116615,bezyi,bezyi,rocks,33.68564035,-111.3210524
Sinclair et al 2004,7,LACM 145224,"Four Peaks, U.S.A.: Arizona",AY584326,v. arizonae,bezyi,Rocks,33.68564035,-111.3210524
Sinclair et al 2004,7,LACM 145229,"Four Peaks, U.S.A.: Arizona",AY584327,v. arizonae,bezyi,Rocks,33.68564035,-111.3210524
Sinclair et al 2004,43,LACM 147513,"Hesperia, U.S.A.: California",AY584296,v. vigilis,vigilis_KCAV,plants,34.4310119,-117.3001276
Sinclair et al 2004,1a,LACM 151484,"Pedricena, Mexico: Durango",AY584338,v. extorris,extorris,plants,25.12103754,-103.7908358
Sinclair et al 2004,1a,LACM 151485,"Pedricena, Mexico: Durango",AY584339,v. extorris,extorris,plants,25.12103754,-103.7908358
Sinclair et al 2004,1a,LACM 151486,"Pedricena, Mexico: Durango",AY584340,v. extorris,extorris,plants,25.12103754,-103.7908358
Noonan et al 2013,vigilis 5892,LACM 139931,USA: Arizona: Red Knob,EU129567,vigilis,vigilis_EM,plants,34.6238562,-113.3993373
Leavitt 2007,80,RLB6101,"USA: Arizona, Yavapai Co.; Bagdad (4.3 NE); N 34.6243, W 113.1233",EU129563,X. vigilis,vigilis_EM,plants,34.6243,-113.1233
Leavitt 2007,72,RLB5802,"USA: Arizona, Mohave Co.; Wikiup; N 34.6833, W 113.6833",EU129603,X. vigilis,vigilis_EM,plants,34.6833,-113.6833
Leavitt 2007,113,DHL120,"USA: California, San Bernardino Co.; Yucca Valley, Kickapoo; N 34.0991, W 116.4718",EU129880,San Jacinto,vigilis_SJ,plants,34.0991,-116.4718
Leavitt 2007,113,DHL121,"USA: California, San Bernardino Co.; Yucca Valley, Kickapoo; N 34.0991, W 116.4718",EU129881,San Jacinto,vigilis_SJ,plants,34.0991,-116.4718
Leavitt 2007,113,DHL122,"USA: California, San Bernardino Co.; Yucca Valley, Kickapoo; N 34.0991, W 116.4718",EU129883,San Jacinto,vigilis_SJ,plants,34.0991,-116.4718
Sinclair et al 2004,77,LACM 151496,"Yucca Valley, U.S.A.: California",AY584353,v. vigilis,vigilis_YV,plants,34.11417,-116.43224
Noonan et al 2013,'Yucca Valley' 6674,LACM 151496,USA: California: Yucca Valley,EU116673,NA,vigilis_YV,plants,34.11417,-116.43224
Sinclair et al 2004,78,LACM 151497,"Freeman Canyon, U.S.A.: California",AY584354,v. vigilis,vigilis_OV,plants,34.71160375,-118.8093589
Sinclair et al 2004,79,LACM 151501,"Short Canyon, U.S.A.: California",AY584355,v. vigilis,vigilis_OV,plants,35.70842932,-117.8772645
Sinclair et al 2004,81,LACM 151502,"Panoche, U.S.A.: California",AY584357,v. vigilis,vigilis_PP,plants,36.59788985,-120.8289911
Sinclair et al 2004,81,LACM 151503,"Panoche, U.S.A.: California",AY584358,v. vigilis,vigilis_PP,plants,36.59788985,-120.8289911
Sinclair et al 2004,46,LACM 151504,"Little Rock, U.S.A.: California",AY584264,v. vigilis,vigilis_KCAV,plants,34.52089325,-117.9818028
Noonan et al 2013,vigilis 6721,LACM 151504,USA: California: Panoche,EU129843,vigilis,vigilis_KCAV,plants,34.52089325,-117.9818028
Lovich et al 2001,LACM125513,LACM125513,NA,M65122,riversiana,riversiana,plants,33.223,-119.472
Lovich et al 2001,LACM136813,LACM136813,NA,M65123,vigilis,vigilis_KCAV,NA,34.4310119,-117.3001276
Lovich et al 2001,LACM138478,LACM138478,"Durango, Mexico",M65120,bolsonae,bolsonae,rocks,25.17,-103.73
Sinclair et al 2004,82,MZFC 4759,"Moyahua, Mexico: Zacatecas",AY584362,sanchezi,sanchezi,plants,21.26693679,-103.1663192
Noonan et al 2013,sanchezi 371,MZFC 4761,Mexico: Zacatecas: Moyahua,EU116637,sanchezi,sanchezi,plants,21.26457026,-103.1651871
Noonan et al 2013,sanchezi 373,MZFC 4762,Mexico: Zacatecas: Moyahua,EU116638,sanchezi,sanchezi,plants,21.26457026,-103.1651871
Sinclair et al 2004,82,MZFC 4762,"Moyahua, Mexico: Zacatecas",AY584363,sanchezi,sanchezi,plants,21.26457026,-103.1651871
Sinclair et al 2004,1a,MZFC 4764,"Pedricena, Mexico: Durango",AY584259,v. extorris,extorris,plants,25.12120542,-103.7927145
Noonan et al 2013,extorris OFV 339,MZFC 4764,Mexico: Durango: Pedricena,EU116619,extorris,extorris,plants,25.12120542,-103.7927145
Leavitt 2007,NA,MZFC 4764,Mexico: Durango; Pedricena,EU129460,X. extorris,extorris,plants,25.12120542,-103.7927145
Sinclair et al 2004,1a,MZFC 4766,"Pedricena, Mexico: Durango",AY584260,v. extorris,extorris,plants,25.12103754,-103.7908358
Noonan et al 2013,extorris OFV 341,MZFC 4766,Mexico: Durango: Pedricena,EU116620,extorris,extorris,plants,25.12103754,-103.7908358
Noonan et al 2013,bolsonae OFV346,MZFC 4771,Mexico: Durango: Pedricena,EU129461,bolsonae,bolsonae,rocks,25.12120542,-103.7927145
Sinclair et al 2004,1b,MZFC 4771,"Pedricena, Mexico: Durango",AY584361,bolsonae,bolsonae,Rocks,25.12120542,-103.7927145
Leavitt 2007,NA,MZFC 4771,Mexico: Durango; Pedricena,EU129461,X. bolsonae,bolsonae,rocks,25.12120542,-103.7927145
Noonan et al 2013,bolsonae OFV347,MZFC 4772,Mexico: Durango: Pedricena,EU116618,bolsonae,bolsonae,rocks,25.12103754,-103.7908358
Lovich et al 2001,NA,NA,California,M65121,henshawi,henshawi_3,rocks,NA,NA
Sinclair et al 2004,23,NA,"Nothing, U.S.A.: Arizona",AY584335,v. vigilis,NA,plants,NA,NA
Sinclair et al 2004,23,NA,"Nothing, U.S.A.: Arizona",AY584336,v. vigilis,NA,plants,NA,NA
Lovich et al 2001,NA,NA,"Phelan High School, San Bernandino, CA",AF313372,vigilis,NA,NA,NA,NA
Leavitt 2007,NA,RLB-CS5502,"USA: California, Santa Barbara Co.; Santa Barbara Island",EU129465,X. riversiana,riversiana,plants,33.47626548,-119.0365512
Leavitt 2007,NA,RLB-CS5510,"USA: California, Santa Barbara Co.; Santa Barbara Island",EU129466,X. riversiana,riversiana,plants,33.47626548,-119.0365512
Leavitt 2007,137,RLB-KC1169,"USA: Arizona, Yavapai Co.; Alvarado Mine; N 34.1934, W 112.7771",EU129474,X. arizonae,arizonae,rocks,34.1934,-112.7771
Leavitt 2007,147,RLB-KC1170,"USA: Arizona, Pinal Co.; Galiuro Zapata; N 32.844, W 110.5387",EU129508,X. bezyi,bezyi,rocks,32.844,-110.5387
Leavitt 2007,147,RLB-KC1171,"USA: Arizona, Pinal Co.; Galiuro Zapata; N 32.844, W 110.5387",EU129509,X. bezyi,bezyi,rocks,32.844,-110.5387
Leavitt 2007,146,RLB-KC1172,"USA: Arizona, Pinal Co.; Galiuro Table; N 32.85284, W 110.5046",EU129510,X. bezyi,bezyi,rocks,32.85284,-110.5046
Leavitt 2007,72,RLB5807,"USA: Arizona, Mohave Co.; Wikiup; N 34.6833, W 113.6833",EU129605,X. vigilis,vigilis_EM,plants,34.6833,-113.6833
Leavitt 2007,72,RLB5809,"USA: Arizona, Mohave Co.; Wikiup; N 34.6833, W 113.6833",EU129604,X. vigilis,vigilis_EM,plants,34.6833,-113.6833
Leavitt 2007,72,RLB5812,"USA: Arizona, Mohave Co.; Wikiup; N 34.6833, W 113.6833",EU129606,X. vigilis,vigilis_EM,plants,34.6833,-113.6833
Leavitt 2007,28,RLB-TC36,"USA: California, Tulare Co.; Fairview; N 35.9167, W 118.5",EU129735,X. vigilis,vigilis_KCAV,plants,35.9167,-118.5
Leavitt 2007,28,RLB-TC37,"USA: California, Tulare Co.; Fairview; N 35.9167, W 118.5",EU129736,X. vigilis,vigilis_KCAV,plants,35.9167,-118.5
Leavitt 2007,21,RLB-TC38,"USA: California, Kern Co.; Tehachapi Mts.; N 35.23333, W 1118.1667",EU129757,X. vigilis,vigilis_KCAV,plants,35.23333,-118.1667
Leavitt 2007,37,RLB-TC383,"USA: California, Kern Co.; Inyokern; N 35.7108, W 117.8942",EU129840,X. vigilis,vigilis_OV,plants,35.7108,-117.8942
Leavitt 2007,71,RLB5862,"USA: Arizona, Mohave Co.; Hualapai Mts. SW; N 34.6833, W 113.9",EU129571,X. vigilis,vigilis_EM,plants,34.6833,-113.9
Leavitt 2007,21,RLB-TC39,"USA: California, Kern Co.; Tehachapi Mts.; N 35.23333, W 1118.1667",EU129772,X. vigilis,vigilis_KCAV,plants,35.23333,-118.1667
Leavitt 2007,26,RLB-TC40,"USA: California, Kern Co.; Kern R. (Isabella); N 35.6167, W 118.5",EU129723,X. vigilis,vigilis_KCAV,plants,35.6167,-118.5
Leavitt 2007,26,RLB-TC41,"USA: California, Kern Co.; Kern R. (Isabella); N 35.6167, W 118.5",EU129724,X. vigilis,vigilis_KCAV,plants,35.6167,-118.5
Leavitt 2007,85,RLB-TC42,"USA: California, Kern Co.; Rancheria Road.; N 35.4667, W 118.8333",EU129853,X. sierrae,sierra,rocks,35.4667,-118.8333
Leavitt 2007,85,RLB-TC43,"USA: California, Kern Co.; Rancheria Road.; N 35.4667, W 118.8333",EU129854,X. sierrae,sierra,rocks,35.4667,-118.8333
Leavitt 2007,85,RLB-TC44,"USA: California, Kern Co.; Rancheria Road.; N 35.4667, W 118.8333",EU129855,X. sierrae,sierra,rocks,35.4667,-118.8333
Leavitt 2007,24,RLB-TC45,"USA: California, Kern Co.; Greenhorn Creek; N 35.5667, W 118.5833",EU129731,X. vigilis,vigilis_KCAV,plants,35.5667,-118.5833
Leavitt 2007,24,RLB-TC46,"USA: California, Kern Co.; Greenhorn Creek; N 35.5667, W 118.5833",EU129732,X. vigilis,vigilis_KCAV,plants,35.5667,-118.5833
Leavitt 2007,21,RLB-TC47,"USA: California, Kern Co.; Tehachapi Mts.; N 35.23333, W 1118.1667",NA,X. vigilis,NA,plants,35.23333,-118.1667
Leavitt 2007,21,RLB-TC48,"USA: California, Kern Co.; Tehachapi Mts.; N 35.23333, W 1118.1667",EU129753,X. vigilis,vigilis_KCAV,plants,35.23333,-118.1667
Leavitt 2007,21,RLB-TC49,"USA: California, Kern Co.; Tehachapi Mts.; N 35.23333, W 1118.1667",EU129751,X. vigilis,vigilis_KCAV,plants,35.23333,-118.1667
