paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,70,RLB5430,"USA: Arizona, Mohave Co.; Willow Creek; N 35.1667, W 113.5333",EU129602,X. vigilis,vigilis_EM,rocks,35.1667,-113.5333
Sinclair et al 2004,17,LACM 135194,"Willow Creek, U.S.A.: Arizona",AY584291,v. arizonae,vigilis_EM,Rocks,35.1846997,-113.8080072
Sinclair et al 2004,16,LACM 138825,"Hualapai Mountains NE, U.S.A.: Arizona",AY584306,v. arizonae,vigilis_EM,Rocks,35.19273902,-114.0560435
Leavitt 2007,46,RLB5272.10,"USA: California, San Bernardino Co.; Cima Dome; N 35.2833, W 115.5667",EU129713,X. vigilis,vigilis_EM,plants,35.2833,-115.5667
Leavitt 2007,140,RLB5782,"USA: Arizona, Yavapai Co.; Grayback Mt. (10 mi); N 34.3847, W 113.0943",EU129491,X. arizonae,arizonae,rocks,34.3847,-113.0943
Leavitt 2007,140,RLB5783,"USA: Arizona, Yavapai Co.; Grayback Mt. (10 mi); N 34.3847, W 113.0943",EU129492,X. arizonae,arizonae,rocks,34.3847,-113.0943
Leavitt 2007,144,RLB5785,"USA: Arizona, Yavapai Co.; Hillside (2.1 N); N 34.4404, W 112.9035",EU129487,X. arizonae,arizonae,rocks,34.4404,-112.9035
Leavitt 2007,144,RLB5786,"USA: Arizona, Yavapai Co.; Hillside (2.1 N); N 34.4404, W 112.9035",EU129489,X. arizonae,arizonae,rocks,34.4404,-112.9035
Leavitt 2007,144,RLB5787,"USA: Arizona, Yavapai Co.; Hillside (2.1 N); N 34.4404, W 112.9035",EU129490,X. arizonae,arizonae,rocks,34.4404,-112.9035
Leavitt 2007,144,RLB5788,"USA: Arizona, Yavapai Co.; Hillside (2.1 N); N 34.4404, W 112.9035",EU129488,X. arizonae,arizonae,rocks,34.4404,-112.9035
Leavitt 2007,144,RLB5792,"USA: Arizona, Yavapai Co.; Hillside (2.1 N); N 34.4404, W 112.9035",EU129486,X. arizonae,arizonae,rocks,34.4404,-112.9035
Leavitt 2007,46,RLB5272.11,"USA: California, San Bernardino Co.; Cima Dome; N 35.2833, W 115.5667",EU129714,X. vigilis,vigilis_EM,plants,35.2833,-115.5667
Leavitt 2007,46,RLB5272.13,"USA: California, San Bernardino Co.; Cima Dome; N 35.2833, W 115.5667",EU129715,X. vigilis,vigilis_EM,plants,35.2833,-115.5667
Leavitt 2007,46,RLB5272.14,"USA: California, San Bernardino Co.; Cima Dome; N 35.2833, W 115.5667",EU129716,X. vigilis,vigilis_EM,plants,35.2833,-115.5667
Leavitt 2007,46,RLB5272.3,"USA: California, San Bernardino Co.; Cima Dome; N 35.2833, W 115.5667",EU129717,X. vigilis,vigilis_EM,plants,35.2833,-115.5667
Sinclair et al 2004,42,LACM 151489,"Cima Dome, U.S.A.: California",AY584274,v. vigilis,vigilis_EM,plants,35.28991894,-115.5832576
Leavitt 2007,63,RLB5908,"USA: Arizona, Mohave Co.; Valentine; N 35.3833, W 113.65",EU129700,X. vigilis,vigilis_EM,rocks,35.3833,-113.65
Leavitt 2007,72,RLB5816,"USA: Arizona, Mohave Co.; Wikiup; N 34.6833, W 113.6833",NA,X. vigilis,NA,plants,34.6833,-113.6833
Leavitt 2007,63,RLB5909,"USA: Arizona, Mohave Co.; Valentine; N 35.3833, W 113.65",EU129696,X. vigilis,vigilis_EM,rocks,35.3833,-113.65
Sinclair et al 2004,18a,LACM 139943,"Valentine, U.S.A.: Arizona",AY584310,v. arizonae,vigilis_EM,Rocks,35.38861243,-113.6519681
Noonan et al 2013,vigilis 5918,LACM 139948,USA: Arizona: Valentine NE,EU129692,vigilis,vigilis_EM,rocks,35.38861243,-113.6519681
Sinclair et al 2004,18a,LACM 139942,"Valentine, U.S.A.: Arizona",AY584309,v. arizonae,vigilis_EM,Rocks,35.38909928,-113.6577199
Sinclair et al 2004,18b,LACM 139947,"Valentine NE, U.S.A.: Arizona",AY584311,v. arizonae,vigilis_EM,Rocks,35.38909928,-113.6577199
Leavitt 2007,45,DHL172,"USA: California, San Bernardino Co.; Halloran Summit Road.; N 35.4082, W 115.7939",EU129722,X. vigilis,vigilis_EM,plants,35.4082,-115.7939
Leavitt 2007,45,DHL173,"USA: California, San Bernardino Co.; Halloran Summit Road.; N 35.4082, W 115.7939",EU129721,X. vigilis,vigilis_EM,plants,35.4082,-115.7939
Leavitt 2007,136,RLB5828,"USA: Arizona, Yavapai Co.; Stanton; N 34.15, W 112.7333",EU129477,X. arizonae,arizonae,rocks,34.15,-112.7333
Leavitt 2007,145,RLB5836,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129478,X. arizonae,arizonae,rocks,34.5167,-112.9333
Leavitt 2007,145,RLB5837,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129479,X. arizonae,arizonae,rocks,34.5167,-112.9333
Leavitt 2007,145,RLB5838,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129485,X. arizonae,arizonae,rocks,34.5167,-112.9333
Leavitt 2007,45,DHL174,"USA: California, San Bernardino Co.; Halloran Summit Road.; N 35.4082, W 115.7939",EU129719,X. vigilis,vigilis_EM,plants,35.4082,-115.7939
Leavitt 2007,45,DHL175,"USA: California, San Bernardino Co.; Halloran Summit Road.; N 35.4082, W 115.7939",EU129720,X. vigilis,vigilis_EM,plants,35.4082,-115.7939
Leavitt 2007,67,RLB5847,"USA: Arizona, Mohave Co.; Hualapai Mts. NE; N 35.05, W 113.8167",EU129585,X. vigilis,NA,rocks,35.05,-113.8167
Sinclair et al 2004,19b,LACM 134545,"Windy Point, U.S.A.: Arizona",AY584286,v. arizonae,vigilis_EM,Rocks,35.43284728,-114.1679065
Leavitt 2007,64,RLB5914,"USA: Arizona, Mohave Co.; Valentine NE; N 35.4333, W 113.65",EU129697,X. vigilis,vigilis_EM,rocks,35.4333,-113.65
Leavitt 2007,64,RLB5915,"USA: Arizona, Mohave Co.; Valentine NE; N 35.4333, W 113.65",EU129698,X. vigilis,vigilis_EM,rocks,35.4333,-113.65
Leavitt 2007,64,RLB5916,"USA: Arizona, Mohave Co.; Valentine NE; N 35.4333, W 113.65",EU129691,X. vigilis,vigilis_EM,rocks,35.4333,-113.65
Leavitt 2007,64,RLB5917,"USA: Arizona, Mohave Co.; Valentine NE; N 35.4333, W 113.65",EU129699,X. vigilis,vigilis_EM,rocks,35.4333,-113.65
Leavitt 2007,62,RLB5376,"USA: Arizona, Mohave Co.; Windy Point; N 35.45, W 114.15",EU129695,X. vigilis,vigilis_EM,rocks,35.45,-114.15
Leavitt 2007,71,RLB5870,"USA: Arizona, Mohave Co.; Hualapai Mts. SW; N 34.6833, W 113.9",NA,X. vigilis,NA,plants,34.6833,-113.9
Leavitt 2007,79,RLB5878,"USA: Arizona, Yavapai Co.; Bagdad (2.6 NE); N 34.6, W 113.15",EU129561,X. vigilis,NA,plants,34.6,-113.15
Leavitt 2007,62,RLB5377,"USA: Arizona, Mohave Co.; Windy Point; N 35.45, W 114.15",EU129676,X. vigilis,vigilis_EM,rocks,35.45,-114.15
